date,home,away,pred_xg,pred_score,p_H,p_D,p_A,actual,result,pred_result,hit,p_actual,tot_pred,tot_act
2026-06-11,Mexico,South Africa,1.6-0.8,1-0,0.543,0.253,0.204,2-0,H,H,True,0.543,2.41,2
2026-06-11,South Korea,Czechia,1.3-1.5,1-1,0.341,0.251,0.407,2-1,H,A,False,0.341,2.77,3
2026-06-12,Canada,Bosnia-Herzegovina,1.8-0.9,1-0,0.574,0.232,0.194,1-1,D,H,False,0.232,2.69,2
2026-06-12,United States,Paraguay,1.3-1.1,1-1,0.412,0.28,0.308,4-1,H,H,True,0.412,2.31,5
2026-06-13,Qatar,Switzerland,1.0-2.3,1-2,0.163,0.186,0.651,1-1,D,A,False,0.186,3.36,2
2026-06-13,Brazil,Morocco,1.5-1.0,1-1,0.474,0.259,0.266,1-1,D,H,False,0.259,2.52,2
2026-06-13,Haiti,Scotland,0.7-1.6,0-1,0.159,0.25,0.591,0-1,A,A,True,0.591,2.27,1
2026-06-13,Australia,Türkiye,1.3-1.1,1-1,0.402,0.277,0.321,2-0,H,H,True,0.402,2.3600000000000003,2
2026-06-14,Sweden,Tunisia,1.1-1.2,1-1,0.339,0.284,0.376,5-1,H,A,False,0.339,2.27,6
2026-06-14,Netherlands,Japan,1.2-1.2,1-1,0.378,0.277,0.346,2-2,D,H,False,0.277,2.38,4
2026-06-14,Germany,Curaçao,3.6-0.8,3-0,0.845,0.097,0.058,7-1,H,H,True,0.845,4.3999999999999995,8
2026-06-14,Ivory Coast,Ecuador,0.7-0.8,0-0,0.277,0.38,0.343,1-0,H,D,False,0.277,1.42,1
2026-06-15,Belgium,Egypt,1.8-0.8,1-0,0.595,0.233,0.172,1-1,D,H,False,0.233,2.55,2
2026-06-15,Iran,New Zealand,1.1-0.8,1-0,0.424,0.309,0.267,2-2,D,H,False,0.309,1.94,4
2026-06-15,Spain,Cape Verde,2.0-0.6,1-0,0.685,0.202,0.113,0-0,D,H,False,0.202,2.6,0
2026-06-15,Saudi Arabia,Uruguay,0.5-1.2,0-1,0.164,0.304,0.533,1-1,D,A,False,0.304,1.78,2
2026-06-16,Austria,Jordan,2.0-0.6,1-0,0.7,0.197,0.103,3-1,H,H,True,0.7,2.59,4
2026-06-16,Argentina,Algeria,1.6-0.9,1-0,0.541,0.248,0.21,3-0,H,H,True,0.541,2.5100000000000002,3
2026-06-16,France,Senegal,1.6-0.8,1-0,0.579,0.245,0.176,3-1,H,H,True,0.579,2.4,4
2026-06-16,Iraq,Norway,0.9-1.3,0-1,0.249,0.281,0.469,1-4,A,A,True,0.469,2.2,5
2026-06-17,Portugal,Congo DR,1.8-0.6,1-0,0.639,0.229,0.132,1-1,D,H,False,0.229,2.37,2
